,post_text,reply_text
47,"""I just wanted to give a run down on why I would avoid Ally bank.  Some people may like Ally, this is just my experience...  Ally bank has awful customer service.  Literally the last 3 days, if you wanted to make a phone call to Ally for any help, you're waiting an hour.  And very few of the reps I've spoken with can actually do everything.  There are separate departments that don't take phone calls, and stuff just is sent into a queue - so if you have an actual problem, like with a wire or something else - you're out of luck.  I had a few hundred thousand I was trying to use in high yield savings - so I had opened an account with them.  Fortunately I only moved 100k because then they told me, you can only move 10k a day in or out of the account.  I had decided I wanted to move more than 10k, which s only 10% of the funds I had and they wouldn't let me.  So then I figured, fine - if they are going to lock up my 100k, I will just wire it out.  NOPE.  I call in, wait an hour on hold, they say they can't do anything - I'm waiting 48 hrs for a wire transfer of my money now.  So if you want to move more than 10k for the first 90 days, you simply can't.  Btw, I asked them about this before I moved in the money and they misinformed me the transfer minimums were lower.  Even Marcus can move 125k a day.    Then I call back, wait on hold for 25 min because someone doesn't know what to do, then she hangs up on me.  Then they ask me for a bank statement just to get my wire across - I send it in - only to find that now the fraud department is calling me leaving a mumbling message.... """"Hey. this is meshes with eksheh please call back on reference 1532442334.""""  I honestly didn't know if this was a telemarketer or not.  So now - just to transfer the funds back to where they came from", sending in bank statements
48,"""Hello all.   I will soon be retiring at the age of 56. This question just pertains to the healthcare coverage aspect of my retirement. The annual plan benefit limit for my healthcare coverage will be $250,000. The plan deductible is $200 per family and the medical out- of- pocket expense limit is $2,000 per family. It will be just me and my wife who is 57. Wellness benefits and things like Minute Clinic will be covered at %100.   """"After Plan Deductible", surgical and emergency room expenses.  ********updated with a few more details of coverage below********  My cost will be $400 a month for my wife and I  * $20 copay for in-network office visits * Teledoc 24/7
49,"""My ex and I can't agree how to pay for college for our daughter and I am trying to come up with a solution that works for both of us. He has (and has done the work) to transfer his Post 911 GI bill to pay for our daughter's college expenses. She's going to Syracuse and it's a school that's on a program where his GI bill will cover all of tuition and room and board.   He wants to pay with his GI Bill and then have me pay him for """"my half"""" meaning I write him a check for half of what would be the bill if we were both paying cash. I don't like this idea because that would mean me paying gift tax on the $31K a year (half of the total cost) I will pay him. I am not sure", he's backpedaled and says he's not sure if he likes that idea either.   Going back to knowing what he wants (cash for his benefit)
50,"""Hi all,  I browsed some past threads on this topic, but just wanted to put all my thoughts in one place and make sure we are doing everything the way we're supposed to do it.  My wife and I had our first child 4 months ago, and my wife just went back to work this week - so this week was my daughter's first week of being sent to the nanny we've hired. We're going to pay the nanny $1,500/month, so $18,000 for the year.   It wasn't until very recently that we learned all the complexities that this situation makes us """"employers"""" in the eyes of the IRS and we need to pay the nanny tax", but even if it reverts to 2020 levels as planned
51,"""[Title was """"Ouch -- Fidelity hack?"""" --admin LadyGeek]  FIDO sent me an email overnight saying my password was changed.  Of course", and to login.  Went to logon tonight
52,"""DW and I (mid-30s) just had our first child a few months ago.  We currently own a perfectly fine, 4 bedroom 2900 sq ft home in a nice neighborhood; purchased 3.5 years ago and refinanced to a 2.625% mortgage (thanks LenderFi!) with about $340,000 remaining on the mortgage.  However, we bought the home during a corporate relocation, and in doing so we compromised on several things we really wanted in order to get other must-haves and to not be in limbo or a rental with all of our stuff.  Notably, we sacrificed some square footage, three-car garage, and useable storage.    Earlier this year, we started talking to one of the new construction builders in our neighborhood about building new.  We connected with a quasi-iBuyer (Orchard), who we contracted with to buy our home for a set amount prior to closing on a new home (either pre-owned or new construction) and then sells our old home once we've moved out, paying us the difference between the first payment and the last minus their regular real estate commission. At the time, they projected our house to sell for around $570,000-$580,000 and they agreed to pay us $520,000 up front.  The market is somewhat more depressed since then but we're still guaranteed the $520,000 even if the house only sold for that (or less).  For clarity, we're under no obligation to sell to Orchard unless we want to go ahead with this process.  Ultimately, we started to shy away from new construction and put the brakes on any plans.  Fast forward to two weeks ago, a house came on the market in our neighborhood that checks all of our boxes.  We've done several walk throughs and fell in love with the property (got the same instant connection we did when we bought our first house as a newlywed couple years ago).  It's only about 250 square feet bigger than our current house, but has the storage, larger garage, and an incredible view and backyard that we won't (bottom line, it check's all of our """"boxes"""").  However", part of me wonders if we're crazy to give up our normal house with a low interest rate for something like this?  Admittedly
53,"""Hello all,  I know the """"invest more vs pay down mortgage"""" question is a somewhat common topic", we will be borrowing 175k at 6% interest rate.   Below is some of our other financial situation - I think I've got most of the relevant metrics.  The question I'm asking is
54,"""Thanks loveeatingpizza for suggesting me to open a new thread.   The old one is at viewtopic.php?p=6665548#p6665548  ON May 4th, 2022, I also got two letters of CP283 with huge fine $210,000 ($150,000 for 2018 + $61,000 for 2020). What is my best option here? How can I avoid this huge penalty?  A few points here: 1. My business has been “Permanently Revoked” in registering state and has had no income since 2017. 2. My solo 401K is only for myself and has about $450K in it, it did not have new contribution since 2017. I closed it and moved the money to my personal rollover IRA account on 4/15/2022. 3. I have filed 5500-ez for 2021 on 04/03/2022 and final 2022 on 5/24/2022  4. I never received any reminder letters either from 401k plan provider or IRS  ------------------------------- Here is what happened for the timeline:  3/28/2022, I received the notification letter from IRS dated 3/18/2022 regarding the “Compliance check Information Request”, notifying me that I have not filed the 5500-EZ for the year 2018, 2019, 2020. 4/3/2022, I filled and signed the 5500-ez forms for 2018, 219, 2020 on paper, but did not mail out.  4/6/2022, I called contact person on the previous letter after a few days of trying. She informed me to: Finish all the necessary materials for the “Penalty Relief Program under Procedure 2015-32”. Mail all the material to the designated address to Ogden, UT also Send a copy of the material to her so that she can input quickly to the system 4/7/2022, I mailed one letter along with the check of $1500 to the designated address in IRS letter. It contains: Form 14704, stating it contains 5500-ez forms for year 2018, 2019, 2022 A check with $1500 for the maximum charge for the plan. One Form 5500-EZ for Tax period December 31, 2018 One Form 5500-EZ for Tax period December 31, 2019 One Form 5500-EZ for Tax period December 31, 2020. 4/18/2022, I checked my bank account, and verified that the $1500 check was cashed by IRS. I thought the issue has been resolved.  However, here is what my stupid move is: On 4/3/2022, after I finished filing for 2021 at https://www.efast.dol.gov/ site, I electronically filed these two forms: 5500-ez for year 2018 using the 2021 form (used beginning 01/01/2018 and ending 12/31/2018) 5500-ez for year 2020 with the 2020 form  5/4/2022, I received the two letters of CP283 dated 5/2/2022 for Penalty charge of Form 5500 for Tax period ending: December 31, 2018 and December 31, 2020.  ------------------------------------ These are the actions I took after I got the penalty letters 1.	On 5/6/2022, I talked to IRS agent with penalty letter phone number, she asked me to allow IRS more time (30 days) 2.	On 5/9/2022, I called the TaxPayer Advocate office asking for help, and faxed the form 911 and other materials to the office. 3.	I received a letter from TaxPayer Advocate office dated 5/10/2022, asking to allow IRS more time based on their account research. 4.	I was calling the contact person on compliance letter daily, trying to see whether she got my letter.  5.	On 5/12/2022, the contact person called me back. She said that she has not received my letter, so I faxed her the copy of my original mail sent on 4/7/2022. I am calling her daily again (leaving voice mail every day) to see whether she got my fax, but she never answered or returned my call. 6.	On 5/25/2022, I talked to another agent with the phone number on penalty letter, he told me to write a letter for penalty removal with reasonable cause, and faxed it along with other materials. He told me that he did see the $1500 check, but he did not see the letters and 3 5500-ez forms that I mailed in on April 7th. He said it may take up to 90 days to process. But he think I should file for reasonable cause.  ------------------------------------ I searched online, and found that the reasonable cause for penalty removal has very high bar, Fire, casualty, natural disaster or other disturbances Inability to obtain records Death, serious illness, incapacitation or unavoidable absence of the taxpayer or a member of the taxpayer’s immediate family Other reason which establishes that you used all ordinary business care and prudence to meet your Federal tax obligations but were nevertheless unable to do so  Question: 1. Is the reasonable cause letter my only option to resolve this issue? 2. Anyone had experience resolving the CP283 based on reasonable cause letter? what are the other possible reasons other than those disasters? 3. I thought my problem is the procedural error, I intended to file under """"Penalty Relief Program"""""," --s"""
55,"""My sister is considering moving from Denver, Colorado to a city with a lower cost of living. She is open-minded, but doesn't want to live in a """"small town in the middle of nowhere"""". She would prefer living in a neighborhood about 20-30 minute commute from a city area. She is flexible", CO has become a trendy location with quite a bit of transplants in the past 10 years (a lot of which are coming in from backgrounds with considerably more money to be able to afford housing). Unfortunately
56,"""I'm newbie here, although I have been browsing Bogleheads and following the practice for years. Thank you all in advance!  Context: We are a family of 4. The two kids are still in elementary school. We sold our previous home around $800K in early 2020 and moved to New Jersey (location matters, I assume) for a new career opportunity. We have been renting a single-family house of 4,000 sq ft at $4,000/month, in a very good school district. (The previous house equity is now in a 45%stock-55%bond portfolio, by the way.) 401(K), non-deductible IRAs, etc. are maxed out. We have a net positive cash flow that can absorb extra rent or a mortgage payment for a house up to $1.2M.  Question: Now the question is, shall we buy a house, or continue to rent?  Self-Analysis Honestly we don't want to leave or move out of this rental house - it's 95% perfect to us in every way! The landlord said they didn't intend to sell this house either. If it were not the current insane housing price seen since the past year, we would be comfortable continuing to rent. Similar houses on this street were sold around $800K in 2020 and then $900K in 2021. I begin to see similar ones listed at $1M right now. Even if the landlord raises our rent by 12.5% this year, $4500/month rent vs $900K price still looks pretty appealing. However, according to all the """"rent or buy"""" calculator", but that depends on how much the housing price will further raise.   I have to admit
57,"""After perusing the """"High Earners", and lawyer culture seems to be all or nothing: work crazy long and stressful hours
58,"""Hi,  Just curious how do BHs are handling allowance for kids. I have a 14 year old boy who does not get any allowance currently. But he recently learnt that his friends get allowance.  We buy whatever he needs. Also most of the shopping happens online these days. If he gets gift cards for his bday, we buy him toys with that money. We used to deposit money for the school Cafe. But now the food is free in schools in CA in the pandemic. I have opened a 529 plan for him 2 years back, and so far managed to put $60K towards his education.   I learnt about the allowance formula of """"$x per week", or $700+ per year for him. But I am not sure if this amount is just tracked on the spreadsheet (& spent according to the discretion of the kid)
59,"""My husband and I make about $350k and have a net worth of about $2.3m. We are in our 40s with young kids. In the super long term we want what I call an """"estate property", practically speaking? If we wait
60,"""I had a very unpleasant, eye-opening experience earlier this week when trying to get oriented in my new HSA account with HealthEquity, and now I'm wondering if this happens with other third-party companies these days.  My new employer has HSA through HealthEquity. I figured to preemptively give HE a call to learn my account number, so that I can promptly set up a transfer of funds from HealthEquity to Fidelity; based on the comments from the good folks on this forum I knew that Fido would be a better home for the employer contribution monies.  The HE customer service rep was polite and asked the regular questions like my name, DOB, last 4 of SSN, etc. Then the time came to """"verify the phone number and email address"""". Since I was already bit annoyed by the fact that my employer had shared my private phone number and private email (obtained during interview scheduling) with the health insurance companies and HealthEquity (as opposed to giving out the company email address)", in an attempt to see if they were willing to change them to the ones I preferred - they were not a match - at that point I was told the verification cannot continue and I asked what other options we had for confirming I was the account holder
61,"""EVERYONE, I AM FULLY AWARE THAT I CAN FIND A NEW JOB AND GET A RAISE VIA THAT MANNER. I WILL LIKELY DO SO AFTER THE RSUS VEST IN 6 MONTHS. PLEASE STOP TELLING ME TO FIND A NEW JOB. THAT IS NOT THE QUESTION I'M ASKING, SO IT IS NOT A RELEVANT ANSWER.  Tl;dr: Given [expletive removed by admin LadyGeek] """"raise"""" this year. Manager is leaving next month", in total
62,"""Hello Bogleheads,  Seeking advice from those who have retired from Federal service and have carried over FEHB into retirement.  I am considering doing the following but not sure if what I am doing will still qualify me for getting FEHB when I turn age 62 ?  Here is my situation:    Previous 15+ years of federal employment, during which time always enrolled under FEHB Stopped work in 2019 due to family issues and later the pandemic delayed my desire to return Dipped my toe back into the job market again; found a fed job with WFH late last year (2021).  Enrolled in FEHB at first opportunityWould like to work for another 2-3 years and retire at my MRA (56 + change). If possible, would like to retire on an """"immediate annuity"""" but postpone receiving the annuity until age 62 to get the FERS annuity with no reduction as well as FEHB.  For those of you who are knowledgeable about all the ins-and-outs of carrying FEHB into retirement", what forms did you fill out and what paperwork did you need to prove this ?  What roadblocks did you encounter ?  For example
63,"""I've been a software developer for ~20 years. I really enjoy the work, it pays well, and the work from home flexibility is fantastic. They say all good things must come to an end, and I'd rather plan my exit from software development vs being forced out due to agism. I'm not sure when that hammer will drop. It depends on the macro economy, how well I keep up my skills, etc.  To hedge my bets I've been considering getting a credential in Data Science. My software + data skills will translate very well. MS programs in Data Science are $10k - $80k, but I'd have to go back and take a few pre-reqs (ugh).  I could also go the MITx / MOOC route with a micro masters for $1,500 (not a typo).  This could translate into a full on career shift (perhaps one where grey hair and experience are valued), or just an intellectual indulgence that spiffs up my resume (the year I got my bachelor's is starting to look retro).  My gut tells me a micro masters is just as good as a full MS when it comes to showing employers I'm still motivated to learn and grow. I'm also not convinced an MS would translate into much of a pay bump. Maybe that is true in bureaucratic organizations with rigid HR policies, but I'm not sure I want to be involved with those places. So the MOOCs seem to have a WAY better ROI?   My wife has a masters and says """"you really have to want it""""... I'm not quite there yet.  Financially"," but the work is mostly done now. Given modest returns from our index funds the """"enough"""" part will take care of itself.  So should I keep building software"
64,"""Background: In the last 30 days we have had 3 instances of fraudulent charges on this CC, the most recent was last night at 11:30 pm.  All 3 of the instances are from something labeled """"FBPAY *STARS"""". Googling this", the current card is locked/deactivated by Elan and a new number and card is issued.  For a few days
65,"""All,  I just read the prior """"Pay it off"""" mortgage thread", as we do want to leave this home paid off before we pass on.  We don't have the taxable cash to pay all of the mortgage off
66,"""Looking for some advice here...  A good friend and his wife have created a trust and will and, according to a welcome email I received, listed me as a """"trustee or beneficiary of their estate plan"""". This trust and will appears to have been created from a local law firm in our area. The welcome email mentioned I would need to attend a webinar once per year (for training/education", and some immediate family
67,"""I have the mindset that if one can do the """"big things"""" right for saving", transportation
68,"""I currently use several accounts with an online bank (0.4% APR), each of which is earmarked for a specific """"irregular/infrequent expense"""" that occurs annually", home/car repairs
69,"""Does anybody use Chase for all of their banking/investment needs?  Currently, I use Fidelity for almost everything (his/hers IRAs, brokerage, CMA, credit card).  Although Fidelity has an office close to me, it's not really a """"bank"""".   There are probably 10 Chase centers within 15 minutes of my house.  I already have Chase credit cards"," etc) CD's and Money Market Funds Any benefits for people that move decent amount of money into accounts (over $million)?  Thanks."""
70,"""Hello,  Mom, 81 years old, resident of Ohio, had an """"event", got cut from Medicare because she wasn't improving fast enough with PT/OT
71,"""Any other docs / health care professionals struggling with low reimbursement in private practice/ multi specialty group setting, and having to see burnout level the amount of patients to literally do """"well"""" in relative terms. 5 years out of residency and this just cant be real life for the rest of my career.   1. If anyone else is currently doing things"," but at the age of 35. this just seems brutal to practice like this for the next 30 years. Doesn't seem healthy or sustainable    3. Are these so called investments that you must be an accredited investor even worth it? Or are most of them extremely illiquid and not worth the trouble?"""
72,"""Hi Bogleheads, Always appreciate insight.  Help me figure this out and see if it is possible to go from 2 to 1 incomes (or if not, potentially part time)  Long story short, through some good luck and side business, we might have about 500k cash after taxes.  We have a new born and if wife can stay at home, we would like her to, just as long as it doesnt hurt us in the long run too much.    Im mid 30s, shes a few years younger. I make about 60, she makes about 80.  Rental grosses 12k a year. We spend between 4.5-5 on average a month between fixed/non fixed Retirement funds sit around 150k.  We invest about 30k a year into retirement accounts (15k of it from her) 25ish years left on personal home (130k left at 3.5%), 25ish years left on rental (60k at 3.85), no other debt Currently grandparents watching new born so no child cost.  How would you use that 500k to allow her to enjoy these years, but also allow this money to set us up for the long run?  With the amount I bring home, and rental income, we wouldnt have enough for our monthly expenses (we wouldnt like to change too much), so would need to use some of that cash to live.  If I use 200k (round numbers) to pay off both properties, that will put us at basically break even every month for income and expenditures. (paying off both will save us about 1k a month).  The only point of friction financially speaking that I can see is """"other stuff""""  like vacations", toys
73,"""My father (my last surviving parent) passed away a few months ago.  My parents had a living trust, and all of their assets passed through the trust, so nothing went through probate.  I am the trustee and executor of my parents' estate.  I sold my parents' home and car after my father's death, so there may be public record of that eventually.  Most of my parents' assets have been distributed to me and my sibling according to the terms of the trust, but I did keep some money in the now-irrevocable trust account to pay taxes and other expenses.  I recently received a letter from a debt collection service trying to identify """"the person who is authorized to act on behalf of [my father's] estate"""".  My father did not have any debts that I know of.  He never received a bill for medical care at the end of his life", since I know people who have been harassed.  It seems my options in response to this letter are as follows: (1)  Do nothing.  They do not know who is responsible for the estate
74,"""For those who have received a 1099-K for reselling tickets on sites like Stubhub/Ticketmaster/etc, how do you handle it on your tax return?  Assuming you don't resell tickets as a business, my understanding is that your 2 options are: - enter it as """"Capital gain or (loss)"""" (using Schedule D - Capital Gains and Losses) - enter it as """"Other income"""" (using Schedule 1 - Additional Income and Adjustments to Income) **note:  I don't think you would use Schedule C since that's for business income  Is my understanding correct?  If so",goonie
75,"""I left the company earlier this year after being employed there for well over a decade as I found a position in another company.  I was the only person with a certain set of skills in the group and was involved in many projects during my time there.  My co-workers were unable to take over for my responsibilities nor were they able to pay enough for somebody that could replace my skillset.  Fast forward to now and I've been asked if I want to return.  Apparently they are starting to have some issues with some of the applications I worked on that are in need of maintenance.  A couple of reasons I left there:  1) I was underpaid 2) They would not allow me to work remote even one day per week, even though I could have done a good 80% of my job remotely.  They are now offering to let me work remote.  Also I was asked what kind of a rate I would be looking for.  I would not technically be a consultant but considered a part time employee.  A friend suggested 3x my hourly rate  when I worked for the company (even though I was salary).  I doubt they would be willing to pay that and I wouldn't doubt if such a """"demand"""" could tarnish my reputation there (i.e. """"who does this guy think he is to ask for this much?"""").    The extra money would be nice to a certain extent but there are only so many hours I would be willing to work.  My current job gives plenty of technical challenges as it is.  What I don't want to do is start working part time for my former employer and getting burned out to the point where it would affect my current full time job.  If I don't set boundaries from the get go",2022-12-11
76,"""Hello  I read several threads that indicated that the rules for ACA tax credits in 2021 and 2022 were modified as a result of the pandemic . A temporary change for 2021 and 2022, eliminated the """"cliff"""" where by 100% of your tax credit would disappear if/when you exceeded the 400% of Federal Poverty Level in a given year. (FPL.)  For 2021 the FPL is $17", and for folks with tax credits you needed to pay 8.5% tax  additional on any added income above the 400% cliff limit of $69680.  This is the thread I am referring to is linked here  viewtopic.php?t=342274&start=50  Quote from a post in that thread is as follows:  ========================================================================= iamblessed wrote: ↑Thu Mar 11
77,"""Since the other thread is about home sales, I thought I would start this thread documenting the insanity in the rental market.  I own a 2 bed condo in a high rise in downtown Chicago. In the depths of the early pandemic, it was hard to find anyone who was interested. We went weeks without a single showing. Finally had to settle for a $2000/month lease.  Well I just put the unit back on the market over the weekend. Got two applications at full asking price almost immediately, sight unseen. Today, the first day of showings, had 12 parties come through. Applications flowing in now, including one with a blank bid price and a note saying """"willing to pay $100 above the highest bidder"," and definitely never an escalation clause with no cap on a rental.  Seems to confirm this recent WSJ article  https://www.wsj.com/articles/bidding-wa ... singmarket  Any other landlords seeing similar insanity?"""
78,"""I am interested in opinions with regard to the following three questions:  1)  How much over your deductible would a claim have to be before you would consider filing for reimbursement from your insurance provider?  2)  What is the experience of people with homeowners premium rate increases following """"a single"""" homeowner's insurance claim?  If your premium increased", I'd say in the neighborhood of $2
79,"""There is a C-suite type position open in our organization and I was considering applying for it. Both the outgoing person and my immediate boss are supportive of my doing so. It would be a 2-grade pay hike and a 2-step position jump in the org.  I enjoy my current position, and I am decently compensated with minimal politics and have fantastic work-life balance.  HOWEVER, the job will be considerable politics and poor WLB (evenings and some weekends expected).  I intend to retire in 6-7 years from here and so this would not be a stepping stone to another place or even within.  Questions for the board: 1. Just don't apply and inform my boss my reasons (but don't want to come across as a slacker) 2. Apply, interview and decline IF offered (they could give it to someone else). Does that look bad, but at least I get a better sense 3. Apply, interview and accept IF offered and give it a try for a bit (but concerned that WLB will really take a hit).  The age old question of """"is it worth it?"""" and I know others have had mixed opinions on other threads.  Some min financial details: MFJ", 401K X2 with decent match.  Sufficient EF and building taxable for future Roth conversions Zero debt (incl paid off mortgage) Life
80,"""[Title was """"Ally rate is now 0.6%"""" July 29",anon_investor
81,"""I am all for retirement planning and currently max out everything I can. Over the weekend had a heart to heart conversation with a friend who has a very different view. He saves almost nothing and his argument is... """"I don't want to put away money only to spend it all on health care when I get old"""". Instead", but at least he'll have government paid health coverage.  Pardon my lack of knowledge about healthcare costs and coverage when you retire
82,"""For those with kids living in a HCOL area...  Do you feel short of a massive windfall you are """"locked in"""" to your lifestyle until your kids leave the house? We started saving early and earn a good amount each year but now that we are starting a family I do not feel like our life is that much different then others.   The biggest differences from our family to others is as long as we work hard we have good health care",300
83,"""We purchased a house with a fence around part of the property. The neighbor on one side does not trim on his side of the fence and there is about two feet of grass growing through the fence. The length of fence on this side is 600 feet, so trimming it is not a trivial job. I'm not sure whose responsibility it is to trim the fence. The fence is on the property line based on a survey. I can't find any laws online from state or county websites but this is what I have gleaned from other websites that claim to be for my state:  1. Neighbors are responsible for trimming a """"shared fence."""" 2. A fence may not be shared if it encloses one property to keep livestock in. Indeed"," the other neighbor has also """"hooked up"""" to the fence and enclosed their property as well. This might make it a shared fence for this neighbor but not for the other.  What is the best way to ask the neighbor about this? I will certainly trim his side of the fence if it is my responsibility. I don't want to insult him by saying """"hey"
84,"""Hi, my dad suggested I field some questions here - thank you for reading.  I'm looking into some local accredited training programs for Radiologic Sciences and Sonography but I have a few questions about these careers: Besides the imaging/technical aspects are there distinct differences between Radiology and Sonography in terms of interacting with patients and other medical personnel?  How physically and emotionally demanding are these roles?  What's the general job outlook?  Can one make a decent living out of it as a 2 income household with no kids?  Some background: I'm a 25 y/o male that graduated with a Bachelor of Arts in 2019. I haven't really used my degree outside some gig work that dried up during the pandemic so I've held manufacturing and food service jobs since then. After three years, I can confidently say that I'm burnt out. I have very little energy beyond working and my pay has been abysmal. My partner (who's still in manufacturing) and I have goals of moving out of Texas and buying a house - both are financially out of reach right now.   My parents are in the medical field and suggested I look into allied health careers. I'm seriously considering it but I don't want to go into continued education if it will lead to a potentially low paying and unfulfilling career (again). Is it a good idea to take on a program that's technically """"below"""" my current education* or should I look into getting a master's degree? I'm honestly a bit lost on higher education; I have interests in history", thanks!  *edit: I apologize for that comment
85,"""First: Next door neighbor is planning to install a fence and already had his property surveyed, staked, and flagged. Property line is not in question.  Folks who understand the legal responsibilities of the parties in this saga, please read and offer suggestions.  Neighbor had some trees removed that were on the property line between our houses. Those trees were planted by the previous property owner, so they were """"their property"""" without question. The work required two days", scraping up the grass
86,"""I'm thinking about making my first withdrawal from my 529 account.  Two questions:  1) Do I simply withdraw the money? The student will officially enroll on August 22nd but we """"need"""" to purchase the student a computer prior to then. Do I just buy the computer"," and would it be better to cash flow a portion? I might use the 529 for the tower ($2000) and cashflow the monitors ($1300).  Thanks!"""
87,"""Today I received an email touting the upcoming conversion of my TD Ameritrade account to a Schwab account, nearly 3 years after the acquisition of TD Ameritrade by Schwab. The email touted additional """"products and services"""" Schwab will bring to the table.  Fact is", ever received a cold call from a broker. The cold calls started shortly after the Schwab acquisition was announced
88,"""I'm curious what value, for their home, other folks use in determining their net worth?  I bought a pretty crappy $75K house 30 years ago.  It's still a pretty crappy house.  I have NEVER (until this year) thought that it was worth what my local tax assessor said it was worth, and CERTAINLY have not thought it was worth what Zillow says.  However, the neighbor's similarly-built-but-better-maintained home sold for almost $60K more than I would've thought it would, in the last 6 months, because of the current market.  I don't think my house is """"worth"""" what I might be able to sell it for", could be wildly inaccurate in 6 months) - how do you value your home for purposes of consistently tracking your net worth (for your own
89,"""Hi Bogleheads -  I turned 67 last month and my ex-employer has just cut my pension from about $38K/yr to $27k.  My pension is """"integrated"""" with Social Security", retirement
90,"""When I go, the next-in-line (spouse, kids, executor) might not have access to my cell phone, which is my primary 2FA channel (SMS text, Google Authenticator, etc.)  How can they get access to my online accounts -- for immediate needs (paying bills, life insurance benefit), medium term (accessing deferred pay), etc. (IRA account, ...)? Edit:  ...and for a lot of non-financial information that's in a """"deathbook""""", or access to a password manager (e.g. LastPass):  By definition
91,"""[Moved into a new thread from: I can't believe I am thinking this [Panic and Survival 2008-09] --admin LadyGeek]  It’s good to re-read threads like this.  I feel like I retired into a perfect storm of all the phrases you read for “worst years” to retire — both stocks and bonds down, inflation, and oh, a plague.  Who knows what’s next?    After my husband suddenly died in 2019, I decided to move close to young grandchildren in San Diego and did so in April 2020, retiring from high (to me) earning career as a private practice psychotherapist.  Now age 65, 30/70, very disciplined thanks to this group.  All my tools say I’m ok, with 1 year of expenses in new T Bills, at least 8 years in fixed income, and with all projections saying I'm likely at a 3% WR. (By tools I mean all the spreadsheets that give you success rates, and/or possible withdrawal amounts.)  But, my current survivors SS  only accounts for a bit above """"bare bones survival""""", and it would not be easy to start seeing therapy clients in a new area
92,"""I know """"Affordable"""" and Health Insurance should not be used in the same sentence BUT....  Just trying to investigate my options if I decide to retire mid year.    I'm 48"," then I will be eligible for ACA subsidies for the following years.  Questions -   Is is possible to get the COBRA cost of my employer's group plan before I actually quit?  What are the choices for catastrophic plans on the ACA?  i.e. looking for a plan that will cover me 100% after say $10K or something like that since I have no issues taking a """"$10K"""" risk paying out of pocket if something should happen.  These plans are still extremely expensive around $700/month or so"
93,"""Hello,  I've been maxing my Health Savings Accounts every year that I'm able to and I'm pretty healthy, most years never using my health insurance and at most a few doctors/specialist visits.  However, as the balance is starting to accumulate I'm wondering why I'm doing it since the likelihood of using it all seems low.  This is due to my out of pocket max being such a small multiple of the total HSA balance- if my out of pocket max is only $4000 and the balance of the HSA grows to be like $50K+, then even if I spend up to the out of pocket max every year on the HSA, I can't imagine I'd  ever use up all the HSA funds since I'm still contributing the max of $3.8K. So even in a """"high-spending"""" year where I hit the out of pocket max"," the HSA amount grows and then when I'm 59.5 I can take the money out for non-healthcare expenses and have it taxed like a 401k.   Am I missing something or are there healthcare expenses beyond the out of pocket max that I'd need the HSA for? My understanding was that I couldn't spend above the out of pocket max each year.  Thank you!"""
94,"""Hey Bogleheads,  We are booking some travel and had a few questions I researched and wanted to confirm my understanding with the community:  Delta eCredits for Delta Main Cabin tickets  If one purchases a delta Main Cabin Non-Refundable ticket, one can choose to cancel the flight prior to departure and recieve an eCredit for the full value of the ticket. The eCredit can be used to purchase another Delta flight, eCredits expire 1 year from the date the original ticket was purchased:  https://www.delta.com/us/en/change-cancel/cancel-flight  That seems like a great feature.  Question: So given that this option is available. what would compel someone to pay extra for a """"Refundable Main Ticket"""" which refunds back to the original form of payment? I guess if the ticket buyer felt like there was a chance they wouldn't rebook the flight 1 year from the original date of purchase.  Question: Why purchase the """"Allianz"""" trip insurance that only covers """"up to 100%"""" of the cost of the flight?   Does anyone have experience with Delta eCredits? I'm assuming they work as advertised", if a rental car is damaged
95,"""i-orp.com is """"off-line"""". Saw this posted at the early retirement forum", or my misunderstanding. i-ORP really is a solid analytical tool.   James is getting up there in age
96,"""We are in the process of preparing an updated estate plan and have engaged the Trust & Estate group in a decent-sized firm (offices in 7 cities).  We could use some advice on their proposal.  Our situation:  Married, retired, no children, 7 figure estate, not in a community property state. No ex-spouses.  No family close by.  ~85% will go to charity on second death; remainder to 2 nieces (both are married).  We have assets in a residence, joint taxable brokerage account, tIRAs and Roth IRAs.  We also have a Fidelity DAF.  All securities are publicly traded.  Our plan is to give the nieces pieces of the Roths, which hopefully they will be smart enough to stretch out for 10 years.  The primary concern for us is setting up things as best we can to where a trusted friend can step in to manage our affairs if we become incapable of doing so; with a minimum of hassle for the friend.  While we could set this up using durable powers of attorney (DPOAs), we are concerned about the many stories of financial institutions refusing to honor attorney-prepared DPOAs.  While we can (and will) fill out Fidelity’s own DPOA, it doesn’t allow for successor agents.  Note that we are less concerned about disposition of our assets after our deaths than we are about making it easier to manage our affairs while we are alive.  The attorney has suggested a revocable living trust for each of us, splitting our joint taxable assets between the trusts.  Each trust would become irrevocable upon death.  The law firm first suggested making the irrevocable trusts the contingent beneficiary of the retirement accounts, which would then be distributed by the trustee to the nieces (over 10 years) and charities.    This seemed like a lot of complexity to me, especially the disposition of the retirement accounts.  The way I'm currently handling it is that the nieces are each TOD beneficiaries of a percentage of one of the Roths that works out to about 7% of total assets each.  Every so often I update those percentages (very easy at Fidelity) to reflect changes in market value.  I'm not particularly concerned that they get exactly 7%, so it's okay if that value floats around between """"adjustments"""".  I'm also not concerned about protecting that inheritance from creditors", however
