,Question_Processed,Answer_Processed
46,wealthy family hardly last three generation,claim entirely accurate plenty fortune extend time logic first generation generally equal people let assume couple three kid strike rich three child produce six seven grandkid time money make way third generation divide time second go life event business failure divorce impact fortune time issue like substance abuse gambling problem visit family also make fortune evaporate quickly third give trait like intelligence pass generation generation person make initial fortune may literal genius grandkid may close average brain department finally comfort often sap people drive make less appreciative money know example work still comfortable people go live office similarly nothing earn enormous amount money often easy spend well dollar every rich kid know say something along line money could probably go buy lunch mindset common people money oppose make money
47,rich make happy,warwick university interesting study find people happy well little bit well neighbor people close person earn surround people typically earn often happy person earn surround people earn million therefore want happy often make sense live area financial capability trade come property beyond money help make people happy use cash right way people spend experience especially novel new one versus thing get old new car iphone get old fast comparison we remember first holiday kid spouse give other countless study show give good cause low level stress anxiety show compare blood result measure focus security much thing sense independently wealthy able take year retire early relax always need work compare people consumption habit display also pressurise society live certain standard wealthy people still live old house happier always buy big place focus health relationship people around we kind balance life even work hard buying time case could outsourcing business owner retire early hate job focus hobby actually enjoy wealth accumulate work other might something else comparison people get miserable earn people typically care general society think next instagram picture show important actual experience people say money buy happiness numerous study show whilst money make big difference low level seem effect people comfortable become wealthy partly true whole story people use money right way make difference buy happiness automatically let put another way lack money indirectly cause many life problem chance divorce death disability least manage money well increase odd happiness use correctly read want chance speak kevin leary shark tank adam fayedwe delight announce forthcoming event big investment worry resolve adam fayedon article tackle common investment worry number difference millionaire investor everyone else | adam fayedwhat main difference millionaire investor everybody else adam faye podcastwelcome adam faye podcast financial podcast expat people interested invest passive income way interact email advice adamfaye com whatsapp +81 disclaimer video consider financial advice solicitation invest
48,give billion dollar give year live accept,let make question even hard answer give billion year live take would expect live long course regardless number year fix expiry date know time much left feel like death sentence defer one death sentence nevertheless amount billion big matter billion million matter utility point view practically point eat well travel take care health education need pay gym membership nice house live rest effectively ' monopoly money ' number nice look much practical utility buy palatial house bedroom island yes try sleep bedroom simultaneously see fun try sleep new bedroom every night bet point would worried get sound sleep bedroom selection take deferred death sentence billion monopoly money
49,avoid mistake people often make come sudden wealth,study do lottery winner show big reason bankruptcy bad spending habit dig though root cause main one advertising wealth somebody hanger want handout people high resolve say everybody small percentage people usually within person circle trust like call friend intentionally try take advantage lack plan somebody make 10million lottery sound like lot money indeed lot money people however yearly income life invest well yes stock market many investment do per year also factor inflation conservative buffer case asset perform bad historical average maximum day enough live like king day year never go bust let say somebody buy house load luxury item + give money family leave 5million day bored lottery winner give work could easily spend online hour complacent lottery winner also assume spend 2k day excessive million extreme come risk put money bank work many people live era interest rate inflation erode money run unless frugal inflation compound get bank inflation per year indirect loss inflation ten year decade could get wipe fresh money token however ultra risky investment illiquid asset friend ’ business good idea either proper planning + ability say + realistic attitude risk = win combination guess read story frequently riche rag story motivate people often people assume story total case study show least lottery winner go broke indicate former sport star even likely go break middle age read thing wish know year ago adam fayedwe live change world wish know year ago would help income wealth anybody get rich investing require middle income well decent spending habit excellent investment discipline – market timing form stock pick work people … adam faye podcastwelcome adam faye podcast financial podcast expat people interested invest passive income way interact email advice adamfaye com whatsapp +81 disclaimer video consider financial advice solicitation invest
50,expensive thing get insanely cheap price,look car year old stepson see nice look door coupe car lot price want spend keep look car look nice though summer keep drive lot every month price drop need car also time driving mile week plymouth mile chevy mile ford mile want honda around mile manual transmission figure could get one around since routinely run 000 + mile would set cheap reliable commuter test drive several car lot stepson major issue suspension wheel bearing thing time fix test drive little black car six speed manual mile honda motor quick suspension tight brake new minor issue take test drive also check blue book value suppose drive back dealer ask price low tell know manual transmission apparently town one know drive manual transmission keep lower price got pay piss put new rotor pad new windshield happy buy go gas station top tank say premium fuel google car realize buy acura rsx type entry level sport car sub second 0–60 142 mph top end 210hp 2500 lb car plan commuter car tune suspension large injector beefy clutch 9–14psi boost commuter hopefully become 2500 lb 400hp rice rocket car cost stock
51,boris johnson become millionaire,need time machine tell time writing boris johnson definitely millionaire fact famously pretty break least many child help pay luckily ex wife mother least five child top london barrister help pretty open secret boris hoping spend year away front bench politic make money write book appear lecture circuit planning return
52,tesla ceo elon musk rich man record think putin could rich elon credible proof back claim,hear musk make claim … hear donald trump say figure putin trillion money control spending oligarch would make customer one explain trump multi decade pursuit former kgb agent trump valuation science — gut feeling would musk echo nonsense take target back always good place hide much putin really worth one know put money account belong family member trust associate accord jail navalny billion palace belong putin sochi putin make bomb sell land personally own developer involve olympic builder confirm many construction detail cite navalny source say gifted putin associate apparently billion dollar gift thing russian friend say absolutely way putin would put something obvious name even enjoy say impossible know much putin worth also mean impossible call musktrump claim
53,think government distribute wealth tax rich heavily use fund help poor another method prefer,come favor idea upon election office public official must forfeit wealth coffer state live meager stipend office do lieu income property tax government redistribute wealth political class people circumstance state muck redistribution scheme amongst private citizen
54,evidence wealthy powerful people get away crime peasant,donald trump rich enough hire many many lawyer would spend much adult life prison would serve latter part life community service somewhere
55,genghis khan use wealth resource conquest develop mongolia,course rather son ugudei khan ugudei khan build beautiful city name kharkhorum invite sculptor architect around world sadly destroy chinese ming dynasty
56,agree three class people namely rich middle class poor lively life live middle class people,doubt poor live miserable life lack basic facility security job lack decent home send child good school take care medical expense fall sick would like escape poverty one wish poor middle class one basic need satisfied however happy live lively life craving become rich middle class people work rich people see lifestyle rich close distance poor people crave become rich know difficult middle class people aspire become rich many achieve feat give choice would like become rich far rich people concerned material need satisfied always option become poor middle class hardly anyone choose hence opinion rich class live lively life provide course rich acquire legally ethically
57,disgusting rich buy alcohol world cup qatar average person,bit mislead think fan area serve alcohol open everyone charge entry however right within stadium ordinary fan can not buy beer alcohol still permit within hospitality box honest look scandal think price charge water bottle shocking
58,would possible poor white poor black political coalition america,would difficult attempt alliance poor black white crashed burn — sometimes literally form anti black pogram look broad sweep american history poor white poor poor african american extremely poor relation regardless urban rural north south whatever else usually stand opposite side line white southerner ruralite african american clash south reconstruction era union freedman bureau keep peace center red summer riot mostly break urban center spur white proletariat white mob celebrate destruction black neighborhood something race class people consistently overlook race actually matter america impossible difficult people think op first person propose alliance last edit change second picture second edit snl skit well show stark cultural difference lie beneath surface similarity black poor white
59,famous wealthy people go sudden poverty financial ruin,john connally john connally governor texas conservative democrat connally ride open car dalla fateful date november strike one lee harvey oswald bullet connally would later become supporter richard nixon nixon name john connally treasury secretary connally switch gop run president spend million manage win single delegate fail presidential campaign connally decide see could use money make partner another former texas politician ben barne two invest million oil real estate include shopping mall condominium office building alas oil price tank texas real estate tank well connally force declare bankruptcy debt initially million though begin debt estimate million force sell austin house horse many business antique art collection connally exactly end poverty manage make living use many political contact call favor open door other price high life
60,summon demon wealth become wealthy day,shit one hand summon demon see hand fill first demon creature myth exist go ahead waste time try summon one time waste could something time waste would bring actual real money like pick skill like low voltage wiring require license apprenticeship probably learn couple week yes week long computer need cable job think mile cable office building apartment complex could make money instead faffe around try summon fairy tale creature anyone post comment omg1111 demon real prove go get comment delete ass block like everyone else do thing answer point fairy tale creature real shitpost know shitpost know shitpost know hope ride visibility maybe get gotcha gon na happen
61,expensive thing think scream rich,scream rich marry good friend pathetically happy three beautiful child well mannered kind human being plan make difference society good friend world health roof head food fridge rich rich wild dream rich base money riche good quality life therefore rich woman world edit tomorrow 26th oct lucky rich woman world year yep 20th wedding anniversary
62,cool thing regardless price,kukri pay amazon couple year back use contemptuous bladed weapon develop appreciation approach middle age — and kukris particular play far cry would always thought weapon intriguing shape could resist temptation one ammunition shortage get ridiculous figured could hurt secondary source home defense require reload thing freak heavy man strong man expert hand hand combat — yet reckon good swing blade would cut assailant forearm bone hand professional gurkha imagine could readily believe tale bishnu shrestha carve train full bandit india one bad boy
63,reagan begin push dismantle government distribute saving via tax cut wealthy wealth redistribution,reagan begin push dismantle government distribute saving via tax cut wealthy wealth redistribution agree premise let focus distribute saving via tax cut read really really carefully saving via tax cut something distribute never collect taxis people keep already taxis attempt redistribute kinda like go store book ten bill pocket book sale buy keep someone come along claim store redistribute wealth store never store redistribute something never
64,much money book make,people prefer ignore question like much money make salary ground question intrusive nobody business irs writer ’ earning generally come royalty advance royalty royalty consist small percentage list price book hardcover 4–10 paperback ebook per copy sell exception spell contract case publisher assume risk pay author advance due signing contract submit finish manuscript publication one edition book — advance parcel among combination occasion advance non refundable provide author comply term contract book sell enough copy earn advance royalty author refund difference book sell copy earn advance publisher begin pay royalty amount earn beyond amount advance new writer advance usually low — usual amount start back 1970 hear low high number today advance early book usually less month expense … though edgar rice burrough pay serialize book back 1920 enough live well year number change along economy sigh friend first book come assume rich famous money already go still live day job famous writer fame actor fame athlete fame even people love book even people work bookstore recognize author name speak constant continue experience want fame write way go
65,example wealthy city ancient time,babylon mesopotamia present day iraq famously wealthy city height chaldean empire king nebuchadrezzar ii well know nebuchadnezzar reign bc enrich capital city plunder conquer kingdom assyria judah phoenicia intentionally impressive gold cobalt ishtar gate one well know relic reign give we glimpse grandiose architecture city time nebuchadrezzar babylon contain three palace decorate glaze colored brick material use city important structure ishtar gate blue yellow glaze tile possibly terrace garden water canal well several religious shrine adorn sculpture gold silver precious stone nebuchadrezzar also rebuild famous ziggurat traditional babylonian assyrian pyramidal monument tower call etemenanki stand nearly foot high — about height statue liberty — with meter ft square base sumerian etemenanki mean temple foundation heaven earth processional way another nebuchadrezzar proud accomplishment ft wide limestone pave road lead temple babylonian god marduk city ishtar gate ceremonial road almost half mile km long border either side length foot brick wall trim gold decorate image flower bull lion dragon great city supposedly contain one seven wonder ancient world legendary hang garden babylon whose existence location remain subject doubt dispute among historian archeologist terrace persian style garden construct nebuchadrezzar median queen gift whose mysterious irrigation technology beauty renown — least accord ancient greek historian source ancient babylon iconic mesopotamian city survive year nebuchadnezzar ii etemenanki wikipedia
66,people fail understand bear poor high chance end way get old key wealth building yes old poor lesson,even allow normal internet hyperbole pretty wild exaggeration income mobility vary country take we example develop country bear bottom economic quintile ie poor chance remain way throughout life great long long way even we perfect income mobility would still expect people bear bottom quintile finish bottom quintile curiously almost exactly reverse top quintile start top fifth chance stay roughly double chance perfect social mobility curiously overwhelming pattern middle three quintile high outcome percentage chance end fourth quintile start either third fourth social mobility great nearly dire imply
67,suddenly become rich would stop,laundry start yeah would totally hire pay service laundry despise someone else absolutely also house cleaning yep would hire someone might seem like simple thing two thing would remove much hassle free much time well worth would probably find go part time job we pay private health insurance could bitch pricey hell suddenly wealthy also would need work full time hate job workplace so … yeah would stop work full time honestly would use money free time focus something survive extra free time would allow focus thing need healthy mentally physically laundry housework work full time thing would love stop could afford
68,think qatar sudden edict restrict beer sale world cup,unfortunate honest upset other firstly big fan drink sport event sure sometimes watch footie drink bathroom break go need anyhow preference necessarily think impose everyone else say fair number fan go miss uk alcohol already ban football stadium long remember somehow survive secondly state reason qatar thought alcohol stadium would make fan uncomfortable assume really reason certainly bad reason world try keep friendly atmosphere dial back public drunkenness conservative country see thirdly like plenty alcohol available outside stadium imagine easy thing qataris get head around least get whilst definitely brilliant change like close kick suspect people upset unhappy qatar anyhow another stick beat ii excuse metaphor last minute change like indicative inability organise piss brewery much less manage world large sporting event
69,wealthy people ever buy regular car brand,mostly buy work get know lot wealthy people buy mainstream brand primarily look utility safety first likely buy small car find rather something large safe varie bit geography midwest around would ford pickup first choice large suv pacific northwest would lexus bmw x5 ford explorer something range tiny niche car enthusiast would buy bentley roll royce etc yes see lot range rover like fly radar want attention nothing prove secure wealth want get around without people noticing buy use reliability concern go car every three year often lease keep replace car frequently sight unseen
70,fair poor pay less tax middle class rich,subjective opinion yes think fair broad shoulder carry heavy load however one pet ' hobbyhorse ' idea recently ' fair ' ratio tax burden uk top pay tax almost exactly time rate bottom ratio right higher low reach broad consensus correct ratio keep taxation level ' fair ' lockstep difficulty current state affair assumption every change tax code increase taxis high earner reduce taxis low earner attack ' regressive ' may correct way tax current structured presumably can not continue change tax burden basis indefinitely must point reach optimum desirable ratio share tax burden high earner low earner sit various point nobody ever seem interesting trying discuss exactly ratio curious
71,one thing rich people buy first,one thing rich people buy first time might think rolex meh expensive watch zany little franc mueller set goal able buy nice never leave bedroom point even earn money like madman simple timex top still wear though guess wear smartwatch month be … tear like datum want simplicity watch mean actual time watch stuff car stuff house place personal inventory time deplete rapidly want anything well start protect limited supply time much money far remember money make life easy today would use much reclaim time personal assistant good pa really life change friend nyc lament pa — usually serie multiple pas — endlessly know really value good pa think pay something like salary pa e absurd rich good — and trustworthy — pa worth weight gold pay happily start talk family office think bit beyond question personal shopper ugh please errand hate sundry errand turn analysis paralysis worth money decision progress make decision result trust judgment please go private chef absolutely love cook terribly time consume ever change schedule make even difficult risk eat poorly time management become health management might happily pay someone feed like barnyard animal gardener love garden find enjoyment keep fresh thing come let real take time scale become unmanageable personally would much rather employ someone keep run benefit regularly still enjoy want salary part time gardener new rolex would care pfff
72,child poor parent start far behind rich kid almost impossible catch,think way … poor boy vs rich boy poor boy household income less usd poverty level county talented musician parent afford lesson improve skill resort watch youtube practice piece crap use instrument struggle academically parent afford tutoring start feel fall behind everything anxiety increase relentless stress real school activity like sport middle school even require quite bit money equipment cost parent rent pay frivolous school program realistic rich boy parent combine income make upper class citizen area talented musician parent music teacher come twice week one hour session child also special room house music fill computer desk music stand several instrument type case one break string whatever else room nearly soundproof beautifully paint wall music note fly everywhere record device attach computer child practice show instructor work struggle academically parent hire top rate student come tutor child child grow parent get specialized standardized testing teacher act sit etc prepare important test school life school activity keep child busy away home 5–6pm everyday karate sport clinic kind soccer wrestling fencing box whatever else parent home thing now … think get ahead time course child strong financial backing hard work get far rich hard worker go improve exponentially fast deny complain post read link information debunk feel free share money well intellect predict succeed life rich child average intelligence likely succeed life brilliant people bear poor family accord new genetic study focus intersection gene economic ultimately less quarter percent high potential people bear low income father graduate college compare percent bear high income father many measure poor kid participate fewer educationally enrich activity summer middle class wealthy kid percent poor kid percent ' near ' poor kid family four live income year go summer camp roughly percent non poor kid – middle class wealthy – attend summer camp poor less likely go cultural outing example percent poor kid percent ' near ' poor kid go art gallery museum historical site summer almost two third percent non poor kid percent poor kid attend concert play one third non poor kid lower achieve pupil rich family earn talented poor child education secretary admit year ago sean reardon stanford university publish analysis finding many study show gap achievement test score student rich family poorest grow percent mid 1970 early 2000 gap exist grade level much large later year school early year middle high school average test score student bottom income three six grade level depend type test student top income
73,would prefer earn cent every minute lifetime instantly gain million dollar,take million cent minute year pretty close wash term buy annuity option lump sum plus country lump sum probably likely taxable whereas recurrent income stream almost certainly go get hit income tax
74,make czech republic one rich country europe,although czechia clearly develop country without doubt one rich country europe far czechia less average eu country metric pretty stable calm safe international daily basis czechia one develop country planet … nice yep comfortable place life definitely ten thousand ppl wanna relocate every year yes low unemployment develop social state good school healthcare still doubt without pathetic nationalism really lucky could live global european perspective vast majority planet could dream something like this … bad vojta rod · 2y bad live czechia seriously bad understand anyone would live wasteland middle central europe empty main town square small central bohemian town kouřim local commit mass suicide realize really pathetic existence event quite common since author post question quora … live terrible place anymore … suffer prosperity develop system social security good universal health care education problem low criminality extremely low violent criminality awful maternity clinic daughter boss bear couple day ago wife suffer world class expert cover damn mandatory health insurance surprise survive damn social protection system public transport literally everywhere terribly low social difference compare developed country … survive four season we live awful old house demolish yet moreover we least house flat live summer house farm land another property common know poor people … could expect guy past suck present future well … it´s awful discover fire last year hopefully electricity come soon house maybe next year … street live awful national park natural reserve wait garden everywhere depressive garden people garden often awful flower almost forget czech terribly educate people love friend hobby pet generally speak total trashy part human race czech bore lazy terrible people don´t anything interesting drink beer eat schnitzel … czech society generally speak backward imprison burn people magic electronic box yesterday call cellphone everyone really care christian atheist jew it´s serious topic local didn´t answer religion question regular national survey … it´s bad fight people religion … people enjoy much freedom local racist xenophobic don´t know first maybe push indian flatmate tram break shop window italian bistro near office could punch ukrainian shop assistant local supermarket attack vietnamese run fast food street choose many tourist focus gay lesbian handicapped people feminist redhead many option million attack everyday … heating house make open fire floor find anything burn find room full paper parchment … old garbage again … don´t look wood anymore land terrible number foreigner live rise every year people country hate land much ten thousand foreign student want study school lot stay graduation awful place visit foreign tourist population country every year fill deposit old garbage everywhere … you know museum gallery librarier art center theater … useless ten thousand we work lab design studio million other office shop like slave suffer low unemployment eu spend money shop buy nonsense … many we suffer hike cycling sport go go trip know survive tomorrow local nature extremely dangerous disaster every day go nature it´s risky example several relative kill roebuck face huge challenge every day example kind ice cream get get lemon practically life challenge proud firstworldproblem suffer … lot except possible international cuisine type meat fruit food eat local cuisine it´s similar like austrian bavarian south german cuisine … awful … politician talk discuss … know unitary parliamentary democracy … strong leader lead party solve everything … suck local news serious story like stuck people elevator reconstruction highway d1 seriously nightmare … wanna live terrible place like make career start family bringing kid get old don´t wanna definitely emigrate somewhere else load stuff horse leave hell forever man hate land much facepalm hope everybody understand sarcastic … i hope wanna know life tiny hell check link ask comment section vojta rod answer like live czechia czech republic wikipedia vojta rod answer czech republic good economical living vojta rod answer amazing fact country vojta rod answer czechia safe country vojta rod answer thing people get wrong country ever think hell see every day xd note mainly non european user don´t know lot imagination europe base czech republic czechia hundred global movie series commercial make cz often cover european location movie casino royale chronicle narnia music clip linkin park kaney west commercial apple htc sony … apple love cz … lot … one old legend even claim czechia exist huge movie decoration maybe … video below … maybe notice czech municipality look historical yes right four major reason first two connected mainly history czech land one less damage area europe ww2 despite extensive damage decline country ussr occupation building mostly gradually fall apart age prefer reconstruction rebuilding save literally ruin building district demolition another reason strict law protect historic building finally kind czech traditional attitude architecture czechia quite small country well imagination map town city protect reservation strict protection zone little bit less strict protection single building complex whole urban area city town village landscape archeological area special type extra protection random example manětín pilsen region western bohemia general description unique document baroque concept town landscape connection untouche composition terrace square south side form chateau significant untouched baroque late baroque building sacral architecture rich sculptural decoration finally guy without primitive nationalism optimism local lucky many country similar well condition majority world could dream standard possibility feel damn lucky bear big limit … description pic sand dune near vlkov village hectare locate south bohemia prague podolí maternity hospital open grammar school znojmo underground call new hall main prague railway station somewhere near broumov town eastern bohemia kutná hora locate central bohemia ppl congress center zlín eastern moravia picture game kingdom come deliverance warhorse studio base real area municipality locate central bohemia … in early 15th century town park michalov locate přerov town found central moravia wine festival ton event like idk exhibition preciosa company focus production design crystal glass fire … it´s pic walpurgis night fly spaghetti monster concert national holiday november struggle freedom democracy day celebrating fight czech nazi communist totalitarian regime 20th century anna nguyen banyan restaurant locate moritz gallery olomouc strahov library rector brno university technology south moravia crest hall olomouc archdiocesan museum central moravia spadia laboratory nový jičín north moravia shopping mall nisa locate liberec north bohemia tourist gothic castle kost eastern bohemia cute roebuck ice cream schnitzel potato salad pic chamber deputy czech republic weather forecast tv nova sculpture horse ardo breed farm písek frymburk ppl locate south bohemia set spider man far home beneš square locate liberec north bohemia boskovice ppl locate south moravia view kadaň ppl locate north bohemia
75,wealth,wealth tool achieve want also kinda make believe … mean break mean whole concept wealthy instance kinda sleight hand see property portfolio property new zealand quite expensive ' lot zero be ' expensive quite property mean quite zero zero ' real ' property actually sell value realise let say someone million dollar property new zealand like … house auckland also avoid akl residential property investment property market nz dive mean someone paper value million net worth effectively drop million lose million equity person even lift finger probably still make return depend portfolio leverage really affect want borrow base net worth let say someone property portfolio million thing happen … go ' multi millionaire ' … well … one hollow title pointless sidenote need net wealth 86 m qualify nz top stock much ditto bullsh like bitcoin look ftx token image source link people go imaginary billionaire real broke pauper start play area point start realize ' wealth ' big money often nothing hollow facade base people think thing worth give moment addition interestingly genuinely wealthy people know look like break people planet drive old ute wander around barefoot whereas other know buy late car accessory rent large house actually super break leveraged eyeball wealth often nothing card monte one respect ' wealthy ' disrespect might appear broke
76,life like someone net worth 50–100 million,believe life remain probably long worry home maintenance property taxis pay kid supply eat school tuition afford healthcare family get use due hedonic adaptation tell friend mine we belong technology industry take different path intention reach million club achieve feat exploit software ai industry att fact day day life bau hang every time pay visit west coast go see atlanta go boat golfing hiking expedition around world 2–3 time year thing drop kid school tennis class grocery tip fix car fun continuous learning try new technology write code read book etc take example first around yrs ago software engineer run fast food enterprise prayosha philly group sell million post partner split begin look technology consulting opportunity last year get roughly million exit location intelligence company go join cybersecurity defense contractor atlanta cto million agreement see change lifestyle one thing admire keep low profile participate philanthropy talk never know worth lot million child adoption advocate believe dollar tomorrow value help someone today deep world rich donate portion wealth death believe point wait people like outlier conservative achieve humble goal generate 200k year retirement income shooting 300k year order comfortably take care two little one 3rd way manage stock market investment rental income couple book royalty million club hope get half way another yrs market continue behave past yrs hopefully answer question
77,political party rich republican democrat,surprisingly turn republican although stereotypical image republican voter poor uneducated turn half true accord mid term exit poll republican voter financially affluent democratic voter statistically significant degree however bit less well educate still hold true source live exit poll election day exit poll democrat vs republicanslive election exit poll state midterm election democrat republican include race voter demographic
78,wealthy people dress like bum,post genuine picture yet one neighbor dress look practically indistinguishable richard silicon valley house look like begin cost home area around 5 m house likely worth near 4 m also dress way every day … also one … pretty much every individual local dress similar easygoing clothing bereft mark logo seem bum yet certainly dress way say hello check chance run neighbor city would likely allow another glance assume presumably would accept experience difficulty make current month lease haha …
79,would happen everyone would become rich,haha good question practically possible let prove contradiction everybody become rich would drive taxi cab would mine precious metal mineral short economy would collapse see money token absolute value everyone become rich currency would value value currency give good service nation total good + service = relative value money example one apple country nobody work hard produce everybody money everybody million dollar would get one apple would fight everyone one pay highest would get apple would turn buy apple million dollar make sense still get apple million way somebody become rich provide worth service good earn money entrepreneur use people guide create good service million people amount knowledge hardwork discipline require run company make difficult everyone become rich everybody can not rich simultaneously explain poor people middle class people run majority nation work ambani go fix damage mini cable little work important do common people become rich good leader immense amount knowledge everything rich people good manager visionary leader guide people dark lonely path risk life pay common citizen entitle work hard smart create amount good service benefit nation entitle earn spend money work hard time may help million people get ease life also trick government use develop country india high inflation mean price keep increase steadily keep people work hard indirectly benefit country also taxis pay people earn important nation edit everyone become rich point life time simultaneously let say lot old people become rich fine already serve country well work life young people time would take responsibility shoulder getting start conclusion people become rich provide much worth good service think enough want go much detail thank read 🧘 open suggestion feedback complaint still learn
80,would happen rich friend deposit one million dollar bank account,someone would owe tax income would owe income tax gift friend might owe gift tax usd million lifetime exemption gift taxis gifted money would tax however friend really generous might owe something bank would ask get money would say friend give bank verifie friend mafia friendly bank people offer sort investment product ask would interested loan money work would subject income tax gift subject gift tax try something clever definition irs use define thing
81,rich get away crime,honestly social circle politician make law prosecutor judge etc donate ton money politician plus since one make rule set penalty make punishment lenient type crime commit example talk guy knock elderly woman atm machine grab cash withdrew gets catch poor get public defender let say elderly woman leg bruise knock three year stip maximum security prison would reasonable sentence expect oh stip mean actually spend whole three year prison parole type prison talk kind see movie shank fight gang go much fun elderly woman time financial adviser embezzle three million dollar life saving leave destitute money pay home food medical expense etc point embezzle money nice condo car sense comfort know enough money bank carry rest life ward state spending remain year crowded government run nursing home financial adviser catch convict might spend month year minimum security lawyer good federal prison jogging track basketball court library many comfort home fair really hurt elderly woman guy grab twenty dollar hand bruise leg guy steal life saving destroy life actually try trick reason say financial adviser could expect spend month year prison way show difference prison rich people go prison everyone else go real life make crime commit financial advisor theft three million dollar let say thirty eight year old wife kid etc first offense would least bit surprised fact would expect sentence something like hefty fine community service course restitution elderly woman lawyer delay use legal ploy tie matter court finally die
82,would suggest tax rich without hit middle low class,simple answer make rich funny thing america today … economic become complicated people comprehend suggest example let say goal maximize amount tax revenue available government redistribute spend good way boost gdp … the economic activity taxis government get one way another federal government tax economic activity every boost gdp worth 60–70 billion new tax revenue we treasury make sense big economy government gets boost gdp well one way boost gdp increase taxis rich already pay lion share taxis less money spend invest money give government less productive would hand individual tax rich gdp go down … indeed every billion dollar take rich economy whole tend get few job plus tax rich people uncanny ability rearrange finance pay less taxis might take share stock instead wage trade wage company perk change rule game behavior change accordingly word want raise taxis rich raise substantially break even raise taxis say people find way avoid tax increase typically barely break even difference high tax rate result low gdp growth trading increase tax revenue gdp growth high tax rate necessarily get much anything obama learn lesson hard way … the notable outcome tax increase worst post recession gdp growth postwar history let get back original question … how boost tax revenue country get rich people create rich people consider moment instead tax rich let keep money spend invest create job prosperity fast rate fact great prosperity result middle class suddenly become new rich pool rich people grow government get tax revenue believe look economic around every major tax cut since pattern see really want government tax revenue surefire way achieve goal low taxis reduce regulation shrink government voracious appetite money less seriously rich people know yes counter tax rich class warfare many teach really economic 101 … when tax something tend get less apply wealth prosperity generally much anything else
83,happen receive million dollar bank account,couple thing would ensue walk bank ready deposit million account first teller would probably need couple second realize legit bring million buck bank second get together stop dream thing could money suspicion level would go way way normal businessman rich people usually deposit whole million account people much money hand separate bank already look like guilty amateur however provide reasonable explanation much money want deposit bank time grant plan time banker laugh deposit money leave bank file suspicion report u treasurey treasurey ever silently start track every dollar see go money surveillance illegal transaction result manhunt track arrest fbi treasurey would seize money bank legal money save since wee boy simply feel like deposit entire million account fine nothing occur raise eyebrow however slight chance banker teller decide allow deposit two thing happen call police police literally arrest money actually money prove money common protocol mean happen teller banker simply delay deposit high verify legit former high end bank teller personally delay await manager approval non cash transaction 200k range occasion teller use particular subtle phrasing seem connote nothis illegal questionable transaction okay manager approve see bank really get suspicious pay cash pay high amount check bounce bank well could go bankrupt want deposit million buck avoid suspicion deposit cash make sure documentation proving cash obtain legally e taxis document pay etc wear torn pant dirty shirt go make deposit conclusion likely thing happen raise eyebrow report treasurey look part pay cash really everything state could happen
84,many billionaire dress well,power people influential personality many important decision make everyday moreover world judge speak write wear one line care kind decision person spend time tell we lot person mindset billionaire always like make high impact decision let look statement really influential personality mark zuckerberg ask wear shirt every day answer really want clear life make make decision possible anything except good serve community zuckerberg say clarify multiple shirt say even small decision like choose wear eat breakfast could tire energy consuming want waste time really lucky position get wake every day help serve billion people feel like job spend energy thing silly frivolous life say zuckerberg point number influential people like apple founder steve job president barack obama theory regard choose outfit job fact tell walter isaacson biography even want apple employee wear vest barack obama see wear gray blue suit try pare decision want make decision eat wear many decision make mention research show simple act make decision degrade one ability make decision source real reason mark zuckerberg wear shirt every day steve job always dress exactly else doe
85,bank erroneously deposit account long would catch mistake money become legally mine,happen believe notify bank nothing notify still nothing speak good friend attorney write letter wait day write another letter inform day date letter would consider money mine day still nothing remove money close account open account elsewhere never hear anything
86,good argument bitcoin maximalism,throughout time something see government king ruler debase money debase money usually lead collapse society recently see play we especially since creation federal reserve government help feed print money consistently supply money increase create inflation price increase constant inflation hide tax steal purchase power away people hold money bad steal benefit price deflation society would produce free market drive price via competition inflation also incentivize speculation asset bubble value money saving decrease force people buy financial asset reduce size real economy increase size financial economy add problem inflation discourage save encourage debt debt pay back cheap money less purchasing power future get bad wage rarely keep rate inflation purchasing power income saving go crush standard live poor middle class toxic stew lead inevitable social unrest instability currently see play front eye every additional dollar print get close close collapse also since fiat system inflation build debt way sustain money print inflation iow theft big government crony capitalism less freedom liberty free market capitalism … bitcoin fix bitcoin provide base money manipulate government mean money long print fix amount 21 m impossible increase base money impossible increase eradicate root cause problem mention society reap benefit benefit include limited follow basically inverse issue create money print inflation productivity gain enjoy society lose fiat system eliminate money saving always increase value little speculation people saving would appreciate rate speculative risk reward would make sense little debt aggregate increase society purchase power thing people use debt buy house would dramatically come price lack need speculate maybe one want take debt know pay back appreciate money real economy would increase financial economy would decrease level insignificance one incentive anything save also since self custody bitcoin would eliminate need bank together although investment pool may still exist global economy would also boom frictionless peer peer transfer money increase velocity decrease need add base money unit similar today broad money metric e fractional reserve mention fact bitcoin divisible money consistently gain value could easily fill credit need expand economy size government would dramatically shrink long able print money would reduce current spending future spending steal purchasing power via inflation anymore course lead freedom liberty free market transition occur yes matter history show we people always gravitate hard form money see gresham law form money sound hard bitcoin alive currently undebatable understand bitcoin additionally know fiat currency go zero move direction quickly fact debt base theft base ponzi scheme monetary system require money printing make demise much certain learn something hit arrow share also follow space defi club crypto insight knowledge
