"question_name","question_url","question_views","question_upvotes","question_shares","question_comments","answer","question_date","question_date_url","question_shares_url"
"What are some famous or wealthy people who have gone through sudden poverty or financial ruin?","https://www.quora.com/What-are-some-famous-or-wealthy-people-who-have-gone-through-sudden-poverty-or-financial-ruin","81.9K views","293 upvotes","5 shares","25 comments","John Connally
John Connally was Governor of Texas in 1963. A conservative Democrat, Connally was riding in the open car in Dallas on the fateful date November 22, 1963.
He was struck by one of Lee Harvey Oswald’s bullets.
Connally would later become a supporter of Richard Nixon.
Nixon named John Connally Treasury Secretary.
Connally switched to the GOP in 1973. He ran for President in 1980, spent $12 million and managed to win a single delegate.
After his failed presidential campaign, Connally decided to see if he could use money to make more of it. He partnered with another former Texas politician, Ben Barnes.
By 1983, the two had invested some $200 million in oil and real estate including shopping malls, condominiums, and office buildings. Alas, oil prices tanked and Texas real estate tanked as well.
Connally was forced to declare bankruptcy with debts initially of $93 million though by the beginning of 1988, the debts were estimated at $48 million. He was forced to sell his Austin house, his horses, many businesses, and antique art collection.
Connally did not exactly end up in poverty - he managed to make a living by using all of his many political contacts to call in favors and open doors for others - at a price. But his high life was over.","","",""
"What’s the most expensive thing you’ve gotten for an insanely cheap price?","https://www.quora.com/What-s-the-most-expensive-thing-you-ve-gotten-for-an-insanely-cheap-price","95.6K views","422 upvotes","8 shares","9 comments","I was looking for a car for my 18 year old stepson. I saw a nice looking, 2 door coupe on a car lot - the price was $6800. I only wanted to spend $3000, so I kept looking. The car looked nice, though, so over the summer I kept driving by the lot. Every month the price dropped $1000 until it was $4800. I needed a car also at that time because I was driving 1000 miles a week and my Plymouth had 175,000 miles on it, my Chevy had 165,000 miles on it, and my Ford had 235,000 miles on it. I wanted a Honda with around 100,000 miles and a manual transmission. I figured I could get one for around $3000 and since they routinely run 200,000+ miles, I’d be set for a cheap, reliable commuter. I had test driven several cars at this lot for the stepson, but they all had major issues (suspension, wheel bearings, things I didn’t have time to fix). I test drove the little, black car. It had a six speed manual, 115,000 miles, a Honda motor and was quick! The suspension was tight, the brakes were new, it had a few minor issues, but when I took it on the test drive, I also checked the blue book value. It was supposed to be $8400. I drove back to the dealer and asked why the price was so low. He told me he didn’t know it was a manual transmission and, apparently, in this town, no one knew how to drive a manual transmission so he just kept lowering the price until he got to what he paid for it. He was pissed because he put new rotors and pads on it, and a new windshield. I was happy and bought it. I went to the gas station to top off the tank and it said premium fuel only. I googled the car and realized I had bought an Acura RSX Type-S - an entry level sports car that has a sub-6 second 0–60, 142mph top end, 210HP for a 2500lb car. My plans for my commuter car now are tuned suspension, larger injectors, beefy clutch, and 9–14psi boost - My commuter will, hopefully, become a 2500lb, 400HP rice rocket for about $4000 more than the car should have cost stock.","","",""
"Which political party is the richest: the Republicans or Democrats?","https://www.quora.com/Which-political-party-is-the-richest-the-Republicans-or-Democrats","15.4K views","120 upvotes","2 shares","24 comments","Surprisingly (to me), it turns out that this is the Republicans. Although the stereotypical image of a Republican voter is poor and uneducated, it turns out that is only half true. According to mid term exit polls (2022) Republican voters were more financially affluent than Democratic voters to a statistically significant degree.
However the bit about being less well educated still holds true.
Source:
Live exit polls 2022: Election Day exit polls for Democrats vs RepublicansLive election exit polls by state during the 2022 midterm election between Democrats and Republicans, including race and other voter demographics.
https://www.nbcnews.com/politics/2022-elections/exit-polls","","",""
"Is it a delusion that being rich will make you happy and a good person?","https://www.quora.com/Is-it-a-delusion-that-being-rich-will-make-you-happy-and-a-good-person","5.7K views","797 upvotes","28 shares","7 comments","","","",""
"What is the one thing that rich people buy first?","https://www.quora.com/What-is-the-one-thing-that-rich-people-buy-first","18.7K views","135 upvotes","9 shares","9 comments","What is the one thing that rich people buy first?
Time. And you might think Rolex. Meh.
My most expensive watch is a zany little Franc Mueller. I set a goal to be able to buy it. Which was nice. But it never leaves my bedroom, so what’s the point of having it at all?
Even when I was earning money like a madman, I had the simple Timex
at the top. Still wear it.
(Though, I guess I’ve been wearing a smartwatch for about 6 months. I’m… torn. I like having the data. But, I just want the simplicity of a watch.)
No, I mean actual time.
Watches are just stuff. Cars are stuff. Houses are just places. But your personal inventory of time is depleting rapidly. If you want to do anything, you better start protecting your limited supply of time.
I don’t have as much money as I once did, by far. But I do remember how money made life easier. And today? I would use much of that to reclaim my time.
A personal assistant? A good PA is really life-changing. Some of my friends in NYC lament their PA—usually a series of multiple PAs—endlessly. It’s because they don’t know what they’re doing and they don’t really value what a good PA can do for them. They think they can pay something like $36,000 as a salary for a PA, and that’s just $#@^ing absurd. If you are rich, a good—and trustworthy—PA is worth his or her weight in gold. If you can pay for that, you should happily do so. (And this is before we start talking about family offices, which I think is a bit beyond the question.)
A personal shopper? Ugh, please. Errands. I hate sundry errands. It turns into analysis paralysis for me. It’s worth money to me to have the decision in progress, and to then to make the decision about the result. I will trust your judgment. Please, go do it!
A private chef? Absolutely. I love to cook, but it is terribly time-consuming. An ever-changing schedule makes it even more difficult. And there is the risk, that you eat poorly. And so, it’s not just time-management but becomes a health management. If you can, you might happily pay someone to feed you like a barnyard animal.
A gardener? I love my garden. I find enjoyment in keeping it and all the fresh things that come out of it. But, let’s be real. It takes time. And as some scale, it becomes unmanageable. Personally, I would much rather employ someone to keep it running, so that I can have the benefits of it regularly and still enjoy it when I want to.
The salary for a part-time gardener is about the same as a new Rolex. Which would I care more about? Pfff.","","",""
"What are the signs that show a woman's wealth and class in Britain?","https://www.quora.com/What-are-the-signs-that-show-a-womans-wealth-and-class-in-Britain","16.8K views","602 upvotes","2 shares","14 comments","Wearing tweed, wellingtons and a headscarf while driving a proper Land Rover is a sure sign of considerable inherited wealth.","","",""
"What's the most expensive item you own without telling your parents how expensive it is?","https://www.quora.com/Whats-the-most-expensive-item-you-own-without-telling-your-parents-how-expensive-it-is","344.3K views","3.9K upvotes","35 shares","234 comments","My Samsung galaxy note 20 ultra 5g!
Worth rupees 1.13 lakhs.
When my father asked me that how much does it cost you, that's how I replied—
Dad- waah yaar phone to badiya lag raha h kitney ka liya? ( Wow that's a nice phone, how much does it cost you ?)
Me- Papa y to second hand liya hai,14 hazar m mil gaya, aa to shayad mehenga raha hoga (Dad this is a second hand phone,I got it for 14k , new might be a little expensive)
Dad — acchaa! Sahi mil gaya itney m to, koi aisa phone dobara aaye to mujhey bhi batana ( ok, that's a great deal, do let me know next time if something like this comes again)
😆
Edit 1:—
Whooaah! Never expected that my answer would have 22k+ views and counting!
Now coming to the comments
Some moral police have advised me that this is clearly wastage of money, as I should have invested this money or give it to the needy and either I am earning 20k or not more than 1 lac in any case and only he can earn this much by trading 😂, and have bought this phone just to show off!
Let me clear few things for you
1.Talking about my earnings:—
I am a full time Salesforce Developer , which is basically a niche technology to work on
In the morning time I give sessions on Salesforce and Data visualization using EA , for many online learning platforms like mindmajix, gologica. I can easily purchase this phone by giving few sessions only.
After that let me come to my freelancing work, there are few android and Salesforce projects are going on under my supervision!
Now you can make assumptions about my earning😊
And yeah let me remind you one thing, if you really feel that a job doesn't pay you good amount, then you must have not been passionate about the work you did at your job!
2. Wastage of money ?
If you buy something you love and you admire alot and you can afford it, this is not a wastage of money at all
I am not that type of a guy who buy new phone every year, or even every two years.
I have bought a new phone almost after 5 years!!!
Yes you read that right!!
3 . Why this phone only ?
First of all, this phone has solved many problems which I used to face earlier.
Writing with a stylus, convert that to pdf
No camera came close to its zooming capabilities plus the quality of photos are just amazing.
Talking about, one plus?
They have the worst cameras ,for a flagship phones.
Secondly, I am fan of hardwares.
This piece of beauty is worth the money.
May it be great cameras
size of the screen
Quality of the screen
Feel in hand
samsung dex
3 years of software update as promised by samsung
And last but not the least which made me pick this phone
Is the current android project which we are working on, similar to DocuSign.
This device is helping us alot on that.
4. Why not iphone 12 pro ??
If you are paying this much of amount, you need latest features to be present on your device.
Iphone lacks all of these
In display finger print
Curves super amoled screen with hdr
Zoom capabilities
Screen size
Stylus to do dozens of things
Iphone is far behind in terms of features
5 Giving to the needy ?
This is the thing which is in between me and my almighty, so I don't want to brag about this here
Giving valuable advice is a good thing, but if your advice is based on so many assumptions then clearly you need to inculcate your words.
Edit 2:—
Wow, 130k+ views and 2.2k+upvotes, that's huge!
Whoever is asking me about my profession , about Salesforce, Einstein analytics and about data visualization , can directly ping me for that! We can have a discussion over that , definitely!
Edit 3:- views are cruising to 200k ! Cheers
Please check out my another answer too:-
Sameer Mirza
· 1y
What is the most expensive item you've ever bought?My Hyundai venue sx Imt, so this is the most expensive thing i have bought independently on my own. And let me tell you one thing, this is the first time in my entire family (which consists of 250–300 people) that anybody has bought a brand new car. So Yeah it was moment of proud for my parents and relatives as well. As i can't make them fit all at once in my car, but i still try to fit 2–3 people extra in my car whenever i go somewhere , so that soon everybody will have an experience that how does it feel to cruise in a brand new SUV. Yeah its a big thing for us!!! People criticize me alot for my choice, that you should have gone for tata or mahindra instead. But i am satisfied with my purchase. Talking about the reasons why i have picked Hyundai over tata and mahindra?? 1. Looks of venue attracts me more as compared to nexon or xuv300 (i know that is subjective ) 2. Far Better after sales service of Hyundai as compared to tata and mahindra (they have worst, if you dont believe ask from there owner and go to owner's experience on YouTube) 3. Better coverage of service centers of hyundai 4. Better return value of hyundai cars( hyundai and Maruti suzuki cars value just dont broke at all, but totally oppositein case of tata and mahindra. To verify this, go to olx or any used car app! You'll get to know) 5. Low maintenance as compared to mahindra 6. Interior of venue is best, or i can say better than nexon or xuv300 7. Better availability of spare parts Although nexon and xuv300 are great products in every aspects as well, and we have some good things too in nexon or mahindra But those pros were not the deal breaker for me.Thats why i picked venue and i am totally satisfied with my purchase. I hope people don't bash me this time ,like they did in my last answer for buying an expensive phone by making tons of assumptions and this time for my choice. Criticism is always welcome If you have not gone through my last answer, please visit
Thanks for reading","","",""
"What are the things that are better to buy the most expensive version you can afford?","","","","","","","Nov 18","https://www.quora.com/What-are-the-things-that-are-better-to-buy-the-most-expensive-version-you-can-afford/answer/Sean-Kernan",""
"Why do communists insist that real communism has never been tried?","","","","","","","4y","https://www.quora.com/Why-do-communists-insist-that-real-communism-has-never-been-tried/answer/Kevin-Sutherland-14",""
"What is one thing that Warren Buffett has that you want?","https://www.quora.com/What-is-one-thing-that-Warren-Buffett-has-that-you-want","301.7K views","2.6K upvotes","19 shares","34 comments","Warren Buffett’s Golden McDonald's card.
This McDonald's brilliant card awards you limitless McDonald's food whenever, any establishment in Omaha, until the end of your life, for nothing.
I know, stunningly right?
This card is so select and restricted that main top-level individuals can get their hands on it.
Others who own this card are Bill Doors and David Peterson, who claims and works six McDonald's areas in California, and whose father created the Egg McMuffin.","","",""
"What's your net worth? And what do you do?","https://www.quora.com/Whats-your-net-worth-And-what-do-you-do","238.2K views","4.1K upvotes","25 shares","1 comment","My net worth is around $ 1 Million, I don't have any reason to write as anonymous.
I am a 22-year-old entrepreneur & Investor who founded two successful startups in college. Currently, I am working on my two startups and We have raised a good amount of money before the launch of our product from India’s well known VC firms.
What do I do?
I manage my several businesses which keeps me busy most of the time. I also started investing in early stage Tech startups and invested in 7 startups till now.
But whenever I get time, I do many things.
I discuss ideas and strategies with aspiring entrepreneurs or students.
I love to read books, which help me to boost my knowledge and confidence. Till now, I have read more than 150 business books.
Sometimes, I go to speak about entrepreneurship, life and technology advancement in Universities.
I love to cook food for family or friends, at least 2 times a week.
I don't live in big houses or drive expensive cars. Instead of that, I live in a rented house somewhere in Delhi and Travel by Cabs or metro.
What do I need?
I have a kickass team, a nice office and family.
What else do I need?
Nothing.
Learn more about me and my work by visiting my profile here.
Rajnish Prajapat","","",""
"Why do people buy houses that are cheaper in further areas only to drive an hour to work? Is it worth it?","https://www.quora.com/Why-do-people-buy-houses-that-are-cheaper-in-further-areas-only-to-drive-an-hour-to-work-Is-it-worth-it","399.5K views","6.6K upvotes","70 shares","364 comments","This is my 7k square foot house out in the middle of nowhere, about ten miles from the nearest city, with acreage, privacy, an indoor salt water pool, year-round stream, and the best lifestyle I could possibly imagine. I moved far from the Seattle area in the hunt for exactly what I found. I wouldn’t trade this place for anything. I spent four months of intense searching, driving over 13,000 miles to find just the exact right house.
For me it came down to one very important thing. I wanted to find a place where I thought I could do my best work. Pushing myself to be better at what I do matters on a very personal level. I advise companies and leaders all over the world and so geography isn’t as important as it once was. What mattered to me was my overall quality of life and my personal productivity. I wanted to get away from the chaos and noise and into someplace that felt like a retreat every day, where I could think through and solve difficult problems and write in my spare time.
The one thing I ask myself over and over is why I didn’t do this sooner? I would drive to a big city and back to commute to this place in a heartbeat! You can’t find this in a city. None would be this quiet or filled with so much wildlife passing through every day. I have deer in the yard every single day, I watched a bobcat trot through the yard two nights ago and every bit of it is like something out of a fairytale. This is life at its best.
EDIT on 11/16/22: People have asked me in messages to post more pictures of “Moose Lodge” named after my old dog, but for privacy reasons I’m reluctant. I love to contribute to Quora, but where is the right line? There are a few pics on my personal website. Here is another exterior.","","",""
"If I found one million dollars in a hidden safe in a house I bought, can I just deposit it in my bank account without getting into trouble?","https://www.quora.com/If-I-found-one-million-dollars-in-a-hidden-safe-in-a-house-I-bought-can-I-just-deposit-it-in-my-bank-account-without-getting-into-trouble","494.6K views","1.1K upvotes","3 shares","118 comments","There is no way you're that lucky, but if you are, here is what I would do (the devious way):
Don't tell your children. The fewer people know the better.
Leave the money there for six months. If the sellers come back to claim it, give it to them.
If some thug comes looking for it, give it to him.
Try to learn about the history of the house to see whether anyone used to live there is currently in jail. If so, that's trouble. Don't touch the money. I'm thinking whoever hid the money might have died unexpectedly without informing any family members. In that case, you're safe.
After six months, get another safe and find another place to keep the money, and dispose the old safe altogether. If someone comes back asking for it, say you know nothing about it. Maybe the sellers took it or someone else could have gotten to it before you, a contractor, the home inspector, etc. So many people have come through the house, you don't know who.
Then go and buy reloadable American Express or Visa gift cards where you can refill with cash at a local store, like CVS - not the same one every time. Don't load too much into the cards, maybe $200-$300 at a time. Basically all your expenses from this point are paid with gift cards. Don't carry too much cash with you. It's dangerous. Use gift cards instead.
That's being said, don't run back to the safe too often. Take out $10k at a time, divide it up among your family members and each should have a safe place to keep the money.
For your job, don't do direct deposit into your bank, get a paycheck for every pay period. When you deposit that check, attach a random amount of cash, less than your paycheck or a little higher but not much, so it wouldn't seem weird.
Then every 4-7 months, deposit a random amount between $7k-$10k into your bank, never the exact amount like $7k or $10k, and never whole dollars. So it should be like $7023.94. If you're married and each of you have two bank accounts, that's an addition $60k or so a year to pay toward your mortgage.
If you have a side business where you get paid with checks and cash (one of my friends bartenders for fun), you can attach some more cash whenever you deposit.
Once you have a decent amount of money in the bank, either buy a couple rental properties or pay off your mortgage. Please consider it a gift and don't squander it.","","",""
"What would happen if everyone would become rich?","https://www.quora.com/What-would-happen-if-everyone-would-become-rich","18.8K views","95 upvotes","3 shares","1 comment","Haha Good question.
It isn't practically possible.
Let's prove it by contradiction.
If everybody becomes rich, who would drive taxis and cabs. Who would mine precious metals and minerals.
In short, the economy would collapse. See, money is just a token. It has no absolute value. If everyone becomes rich ,the currency would have no value.
The value of currency is given by goods and services in the nation. The total goods + services = Relative value of money.
For example,
If their is only one apple in the country because nobody is working hard to produce it, because everybody has money.
Now, if everybody has million dollars, Who would get that one apple.You would have to fight with everyone. The one who pays highest would get the apple.
It would turn out that you bought an apple for a million dollars 💵💲💲.
Does that make sense?? You are still getting the same 1$ apple for a million.
Only ways somebody can become richer is by providing that worth of services and goods ,that is how they earn money.
That is what entrepreneurs do, they use people and guide them to create goods and services for millions of people.Now, the amount of knowledge, hardwork, and discipline is required to run a company makes it difficult to everyone to become rich. But everybody cannot be rich simultaneously as explained above.
The poor people and middle class people run the majority of nation's work.
Ambani's themselves don't go and fixed the damaged mini cable. These little works are most important and are done by common people.
So how to become rich?? BE A GOOD LEADER WITH IMMENSE AMOUNT OF KNOWLEDGE ABOUT EVERYTHING.
Rich people are just very good managers and visionary leaders, who guides people on a dark lonely path by risking their own life. That is why they are paid the most.
We as a common citizen are entitled to work hard and smart to create more amount of goods and services. For benefit of both ourselves and nation.We are entitled to earn and spend money.
If you are working hard for yourself, at the same time you may be helping millions of people getting ease of life.
That is also a trick that government uses. In developing countries such as india 🇮🇳, They have high inflation ,meaning that the prices keep on increasing steadily so as to keep the people working hard which indirectly benefit the country. (Also taxes paid by the people when they earn is important for nation).
Edit: Everyone can become rich at some point of their life time , but not simultaneously.
Let's say , a lot of old people become rich, then it is fine, they already have served the country well and have worked all through their life. Young people at the same time would take the responsibility on their shoulders because they are just getting started.
Conclusion: People can become rich but they should provide that much worth of goods and services .
I think this is enough, I don't want to go in too much details.
Thanks for reading. 😊🧘❤️🌼. I am open to suggestions, feedback and complaints. I am still learning.","","",""
"How can I develop a strong personality?","https://www.quora.com/How-can-I-develop-a-strong-personality","321.8K views","2.1K upvotes","131 shares","7 comments","Here are 15 ways that can help you to develop a strong personality.
Be yourself: People can tell when you're faking it. Life isn't the same as high school. Acquire the ability to be at ease in your own flesh.
Smile: anytime you talk to people. Speak clearly and make your message clear.
Ask questions: Question that begins with “why” works best. Let people discover themselves when talking to you.
Be very knowledgeable, try as much as you can to have deep knowledge on different topics.
Speak only when it’s necessary and always make sense with valid points.
Don’t complain: Don’t bawl about how this sucks and that isn’t fair. This won’t get you anywhere in life. And quality people won’t like to be around you.
Be encouraging: Genuinely help and encourage people to do better. You will feel good doing it. And people will like you more.
Use Your hands while having a conversation: Using Your hands will make you comfortable and highly presentable while having a conversation.
Don’t gossip: Quality people don’t gossip. They don’t need to put other people down to feel good about themselves.
Wear clean shoes. Don’t just wear anything but dress with sense! Appearance matters a lot, the way you make yourself presentable is how people are going to treat you.
Boost your confidence by always learning new stuff every day. If you can afford it, travel as much as you can.
Don’t compare yourself with anybody. Do your own thing in your own way, invent your own style.
Memorize peoples name and avoid using ‘Hey’ to address people all the time. You can do this by repeating peoples name constantly anytime you’re having a conversation with them.
Be humble: Nobody likes an all-time show-off. Yes, you are good enough but you don’t need to shove it in people’s faces.
Be very kind. Always have some kind of genuine solutions to other people problems.
FREE BONUS: If you've ever been curious about who you truly are, then this is something that you NEED to see...
To me, it felt a little bit surreal - almost too accurate to be true, even.
But as I delved deeper into my archetype, I just couldn't help but think how true everything was.
In just a matter of minutes, my heart was captivated. >>> Click Here To Discover Your Archetype
This is Matthew, & thank you for reading!","","",""
"How can Canadians afford high taxes?","https://www.quora.com/How-can-Canadians-afford-high-taxes","2.9K views","32 upvotes","2 shares","7 comments","Our taxes pay for things we as a society want.
Property taxes fund education for elementary and secondary schools on a provincial basis. This means that all schools in the province receive the same amount of money for each student. There are no poor schools, or bad school districts. City kids, rural kids, tech city kids and farm kids get the same education.
Payrol and consumer taxes fund our universities and colleges. Our tuition is considerably lower and more affordable than United states post secondary without sacrificing standards or the value of the degree.
Personal, payroll and consumer taxes fund our retirement plans: our Canada Pension Plan, Old age security, guaranteed income supplement.
Personal, payroll and consumer tax fund our social programs: unemployment insurance, maternity leave, parental leave, unemployed sick benefits, child tax credits, social service (welfare) CPP disability to name just a few.
Personal, payroll and consumer taxes fund our universal health care, our seniors and childrens prescription drug plan, our low income assisted drug plan, our assisted medical device plan and fund our hospitals, blood and imaging support labs. When we're sick or hurt we don't worry about cost. If we lose our job, or quit a job, we don't worry about our families health. We have no pre existing conditions.
As with most societies, the taxes also pay for roads, police, fire departments, courts, municipal offices and city halls as well as other critical infrastructures.
We make choices.
We elect our government, choosing from up to five political parties. We also elect our provincial representative and our town or city mayor and councillors. These are the only elections.
We don't elect police, judges, county clerks, dog catchers or water treatment plant staff, these are all filled by professionals who are not motivated by their next election.
Our choices reflect the value we place on equality. Everyone is entitled to the same level of service in all parts of their civil life.
Do we get cranky about taxes sometimes? We sure do, but talk about cutting back on these services and and the government would be replaced very quickly! You would suddenly see polite Canadians become rude and unruly.
Choices, equality, fairness, representing the will of the citizens, that's how we afford taxes!","","",""
"Why do many billionaires not dress very well?","https://www.quora.com/Why-do-many-billionaires-not-dress-very-well","15.3K views","45 upvotes","5 shares","","Power people and influential personalities have too many important decisions to make everyday. Moreover the world judges them by what they do, speak or write and not by what they wear. So, in one line, they don't care!
On what kind of decisions a person spends his/her time tells us a lot about the persons mindset. Billionaires always like making high impact decisions.
Lets have a look on some statements from some really influential personalities.
Mark Zuckerberg
was asked, ""Why do you wear the same T-shirt every day?""
He answered:
""I really want to clear my life to make it so that I have to make as few decisions as possible about anything except how to best serve this community,"" Zuckerberg said, after clarifying that he has ""multiple same shirts.""
He said even small decisions like choosing what to wear or what to eat for breakfast could be tiring and energy consuming, and he doesn't want to waste any time on that.
""I'm in this really lucky position, where I get to wake up every day and help serve more than a billion people. And I feel like I'm not doing my job if I spend any of my energy on things that are silly or frivolous about my life,"" he said.
Zuckerberg pointed out that a number of other influential people, like Apple founder Steve Jobs or President Barack Obama, have the same theory with regards to choosing their outfits. Jobs, in fact, told Walter Isaacson in his biography that he even wanted to have all Apple employees wear the same vest.
Barack Obama
“You’ll see I wear only gray or blue suits,” “I’m trying to pare down decisions. I don’t want to make decisions about what I’m eating or wearing. Because I have too many other decisions to make.” He mentioned research that shows the simple act of making decisions degrades one’s ability to make further decisions.
Sources:
Here's The Real Reason Mark Zuckerberg Wears The Same T-Shirt Every Day
Steve Jobs Always Dressed Exactly the Same. Here's Who Else Doe","","",""
"How can I summon a demon for wealth and become wealthy in just a day?","https://www.quora.com/How-can-I-summon-a-demon-for-wealth-and-become-wealthy-in-just-a-day","2.7K views","292 upvotes","6 shares","26 comments","Shit in one hand, summon a demon with the other, see which hand fills up first.
Demons are creatures of myth. They don’t exist. So, go ahead and waste your time trying to summon one, it’s your time to waste, but you could be doing something with that time you are wasting that would bring in actual, real money. Like picking up a skill like low-voltage wiring that does not require a license or an apprenticeship and you can probably learn in a couple of weeks. Yes, weeks. And as long as there are computers that need cables, you’ll have a job. Think of all the miles of cables in office buildings and apartment complexes! You could be making money doing that, instead of faffing around trying to summon a fairy tale creature.
Anyone who posts a comment about “OMG1111!!!!111 DEMONS ARE TOO REAL AND I CAN PROVE IT!” is going to get their comment deleted and their ass blocked. Just like everyone else who’s done the same thing on other of my answers pointing out that fairy tale creatures aren’t real. These are shitposts. You know they are shitposts. I know they are shitposts. We both know you are only hoping to ride on my visibility and maybe get in a “gotcha.” Not gonna happen.","","",""
"Would you agree to have a tail that could never be removed and was always visible, in exchange for a billion dollars?","https://www.quora.com/Would-you-agree-to-have-a-tail-that-could-never-be-removed-and-was-always-visible-in-exchange-for-a-billion-dollars","76.3K views","2.3K upvotes","11 shares","67 comments","This is a very easy choice.
A billion dollars is an unbelievable sum of money,
A billion is 1000 times more than a million. That’s a lot.
I would have trouble spending 1 billion in a lifetime if I didn’t pay exorbitant prices for luxuries that most people don’t even know exist.
I’m taking the billion and the tail. If I get lucky it’s like a cat-tail and helps with balance. If not then I’ll wipe my tears away with hundred dollar bills. Money can’t buy happiness, so I’ll simply have to rent. What a darn shame.","","",""
"What is the coolest thing you own regardless of price?","https://www.quora.com/What-is-the-coolest-thing-you-own-regardless-of-price","23.2K views","264 upvotes","1 share","11 comments","A kukri.
Paid $90 for it on Amazon a couple of years back. I used to be contemptuous of bladed weapons, but I’ve developed an appreciation for them as I approach middle age—and kukris in particular after playing Far Cry 4. I’d always thought these weapons had an intriguing shape, and I couldn’t resist the temptation to own one myself. That ammunition shortage is getting so ridiculous that I figured it couldn’t hurt to have a secondary source of home defense that didn’t require reloading.
The thing is freaking heavy, man. I’m not a strong man, nor an expert at hand-to-hand combat—yet I reckon a good swing of the blade would cut an assailant’s forearm to the bone. In the hands of a professional, such as a Gurkha, I can only imagine what it could do. I can readily believe the tale of Bishnu Shrestha
who carved up a train full of bandits in India in 2010 with one of these bad boys.","","","https://en.wikipedia.org/wiki/Bishnu_Shrestha"
"Should one easily be impressed by other people's wealth?","https://www.quora.com/Should-one-easily-be-impressed-by-other-peoples-wealth","1.5K views","27 upvotes","3 shares","","No, I am impressed by character. Elon Musk is a self-entitled elitist. Trump has no redeeming factors at all. As my grandmother used to always say, “Pretty is, as pretty does.”
“Sadio Mane, a Senegalese soccer star, earns approximately $10.2 million annually. He gave the world a rude awakening after some fans were flabbergasted when they saw him carrying a cracked iPhone 11. His response was awesome:
""Why would I want ten Ferraris, 20 diamond watches, and two jet planes? I starved, I worked in the fields, played barefoot, and I didn't go to school. Now I can help people. I prefer to build schools and give poor people food or clothing. I have built schools and a stadium, provide clothes, shoes, and food for people in extreme poverty. In addition, I give 70 euros per month to all people from a very poor Senegalese region in order to contribute to their family economy. I do not need to display luxury cars, luxury homes, trips, and even planes. I prefer that my people receive some of what life has given me.""","","",""
"What is an example of a wealthy city in ancient times?","https://www.quora.com/What-is-an-example-of-a-wealthy-city-in-ancient-times","14.1K views","201 upvotes","10 shares","4 comments","Babylon, in Mesopotamia (present-day Iraq), was a famously wealthy city at the height of the Chaldean Empire.
King Nebuchadrezzar II, better known as Nebuchadnezzar (reigned from 605-561 BC), enriched the capital city with the plunder of conquered kingdoms such as Assyria, Judah and Phoenicia.
The intentionally impressive, gold and cobalt Ishtar Gate is one of the best-known relics of his reign, giving us a glimpse into the grandiose architecture of the city during that time.
Nebuchadrezzar's Babylon contained three palaces decorated with glazed, colored brick (the material used in the city's important structures, such as the Ishtar Gate), with blue and yellow glazed tile, and possibly terraced gardens with watering canals, as well as several religious shrines, adorned with sculpture, gold, silver and precious stones.
Nebuchadrezzar also rebuilt a famous ziggurat (a traditional Babylonian and Assyrian pyramidal monument tower) called the Etemenanki, which stood nearly 300 feet (91 m) high—about the height of the Statue of Liberty—with a 91 meter (300 ft) square base. (In Sumerian, “etemenanki” means “Temple of the foundation of heaven and earth”.)
The Processional Way, another of Nebuchadrezzar's proudest accomplishments, was a 70 ft (21 m) wide limestone-paved road that led from the temple of the Babylonian god Marduk through the city's Ishtar Gate. The ceremonial road was almost a half mile (0.8 km) long and was bordered on either side for its length by 50 foot (15.2 m) brick walls, trimmed with gold and decorated with images of flowers, bulls, lions and dragons.
The “Great City” supposedly contained one of the seven wonders of the ancient world, the legendary Hanging Gardens of Babylon (whose existence and location remain a subject of doubt and dispute among historians and archeologists): Terraced Persian-style gardens constructed for Nebuchadrezzar's Median queen as a gift, whose mysterious irrigation technology and beauty were of renown—-at least according to ancient Greek historians.
Sources:
Ancient Babylon, the iconic Mesopotamian city that survived for 2,000 years
Nebuchadnezzar II
Etemenanki - Wikipedia","","",""
"What's the coolest thing you own, that's not expensive?","https://www.quora.com/Whats-the-coolest-thing-you-own-thats-not-expensive","130.7K views","820 upvotes","26 shares","45 comments","What is the coolest/most impressive but non-expensive thing you own?
This:
It’s one of those tough, nearly indestructible plastic Coke bottles, filled with water (the bane, of course, of the mid-oceanic plastic island). It’s so cool because it has a simply incredible pressure seal (this due to the obvious need for a bubbly Coke for a good pressure seal). It won’t leak or break (tough plastic) in a backpack, wherin I like to carry water, whereas many other purposeful “sports bottles” will often create a mess (especially the ones with that conveinient pop-valve titty thing).
This one shown is well over a year old, and the cleverly designed (no washer needed!) seal has not let me down yet.
Cheers.","","",""
"How do people manage to go broke from having a $5M+ net worth?","https://www.quora.com/How-do-people-manage-to-go-broke-from-having-a-5M-net-worth","3K views","4 upvotes","4 shares","2 comments","Let's imagine someone hits a $5M jackpot and has a poverty mindset. Except he/she escapes from the level of thinking he/she is going to lose the money, regardless the length of time it takes
The first thing to clarify regarding the poverty mindset definition is that it’s not about how much money a person has in their bank accounts. It’s entirely due to thoughts and perceptions, which, in turn, shape someone’s decisions and beliefs.
Someone with a poverty mindset sees a surplus in resources as an opportunity for increased consumption, and they often center their efforts on making immediate positive changes. In contrast, a person with a rich mentality focuses on using the excess to create momentum that causes future gains.","","",""
